id,state,abbr,TotalPop,BachelorsOrMore,BachelorsOrMore_moe,LessThanHighscool,EmployedPop>16years,EmployedPop_moe>16years,UnemployedPop,UnemployedPop_moe>16years,familyincomeMorethan50k,familyincome_Low,familyincome_High,DepressionSampleSize,depression_datavalue,depression_low,depression_high,NoHealthcoverageSampleSize,NoHealthcoverage,Nohealthcoverage_low,Nohealthcoverage_high,geolocation,NoWork,NotAffordHealthcare,Column1
,1,Alabama,AL,4849377,6.8,0.8,16.1,52.5,0.4,8.6,0.3,38.8,37.1,40.4,1961,21.3,20.1,22.5,806,13.9,12.7,15.1,"(32.84057112200048, -86.63186076199969)",3.2,17.4
,2,Alaska,AK,736732,7,1.5,14.5,61.9,0.9,7.6,0.6,55.6,53.4,57.8,717,15.6,14,17.1,3905,15,83.4,86.7,"(64.84507995700051, -147.72205903599973)",6,11.9
,4,Arizona,AZ,6731484,6.9,0.5,17,54.2,0.4,7.9,0.3,40.8,39.4,42.2,2809,18.7,17.6,19.8,13749,14.4,84.4,86.7,"(34.865970280000454, -111.76381127699972)",3.5,15.5
,5,Arkansas,AR,2966369,7.4,1,14.2,54.2,0.5,6.8,0.3,32.9,30.8,35,1111,21.5,19.8,23.3,4782,16.3,81.9,85.6,"(34.74865012400045, -92.27449074299966)",3.5,18.2
,6,California,CA,38802500,9.5,0.2,13,57.4,0.1,8.5,0.1,44.6,43.1,46,1317,13.3,12.4,14.2,7756,14.8,84.2,86.2,"(37.63864012300047, -120.99999953799971)",3.5,13.5
,8,Colorado,CO,5355866,11.2,0.8,12.7,63.7,0.3,5.5,0.2,53,51.9,54.2,2301,17,16.2,17.9,12227,12.8,86.4,88.1,"(38.843840757000464, -106.13361092099967)",3.1,13.1
,9,Connecticut,CT,3596677,14.1,1,11.8,61.6,0.4,7.9,0.3,56.5,54.8,58.2,1440,18.3,17.1,19.5,7505,8.7,90.3,92.4,"(41.56266102000046, -72.64984095199964)",3.8,11.3
,10,Delaware,DE,935614,8.5,1.5,15.3,58.5,0.7,6.7,0.6,48.4,46,50.8,802,18.3,16.6,20,4022,8.7,90.1,92.6,"(39.008830667000495, -75.57774116799965)",3.1,10.8
,11,Washington D.C.,DC,658893,23.7,2.5,11.7,62.3,1,8.9,0.8,53.7,50.7,56.6,2588,14.6,13.7,15.5,595,10.7,9.7,11.8,"(31.827240407000488, -99.42677020599967)",2.7,12.3
,12,Florida,FL,19893297,8.2,0.5,16.5,53.6,0.2,8,0.2,40.1,38.7,41.5,1640,16.2,15.2,17.2,8761,17.6,81.2,83.6,"(28.932040377000476, -81.92896053899966)",3.4,17.6
,13,Georgia,GA,10097343,8.2,0.5,16.9,56.7,0.3,8.3,0.3,41.5,39.7,43.3,1243,18.3,17,19.7,5563,20.9,77.5,80.7,"(32.83968109300048, -83.62758034599966)",4,19
,15,Hawaii,HI,1419561,7.5,1,8.5,58.1,0.7,5.4,0.5,49.1,47.4,50.9,924,10.7,9.8,11.7,6697,8.1,91,92.9,"(21.304850435000446, -157.85774940299973)",2.9,8.7
,16,Idaho,ID,1634464,5.5,1,14.1,58.1,0.7,5.5,0.6,41.9,39.8,43.9,1117,19.5,18,21,4787,16.5,81.9,85,"(43.682630005000476, -114.3637300419997)",2.4,15.8
,17,Illinois,IL,12880580,12.9,0.5,12.8,60,0.2,8.1,0.2,48.1,46.2,50,820,16.7,15.3,18.1,4687,11.9,86.7,89.5,"(40.48501028300046, -88.99771017799969)",3.3,12.4
,18,Indiana,IN,6596855,9,0.7,17,59.5,0.3,7.1,0.3,41.3,40,42.6,2323,20.7,19.7,21.7,10462,14.8,84.3,86.3,"(39.766910452000445, -86.14996019399968)",3.5,15.1
,19,Iowa,IA,3107126,9.8,1,10.7,64.7,0.4,4.4,0.2,47.7,46.2,49.3,1460,18.7,17.5,19.9,7712,7.7,91.4,93.2,"(42.46940091300047, -93.81649055599968)",2,8.8
,20,Kansas,KS,2904021,10.3,0.9,12.7,61.9,0.4,5.2,0.3,45.9,44.8,47,2589,18.6,17.8,19.4,12331,14.5,84.7,86.3,"(38.34774030000045, -98.20078122699965)",2.9,12.5
,21,Kentucky,KY,4413457,8.4,0.6,13.3,54.4,0.4,7.6,0.3,37.4,35.8,39,2627,23.9,22.5,25.3,10587,10,88.9,91.2,"(37.645970271000465, -84.77497104799966)",2.9,15.9
,22,Louisiana,LA,4649676,7.2,0.7,19.2,55.2,0.4,7.5,0.3,40.8,39.2,42.4,1324,18.7,17.5,19.8,5829,18.7,80,82.6,"(31.31266064400046, -92.44568007099969)",3.1,17.5
,23,Maine,ME,1330089,10.9,1.7,11.9,59.3,0.6,5.9,0.4,42.9,41.5,44.4,2074,23.7,22.5,24.9,8396,11,88,90,"(45.254228894000505, -68.98503133599962)",3.2,10.9
,24,Maryland,MD,5976407,12.7,0.7,12.2,62.7,0.3,7.2,0.2,58,56.2,59.7,2197,15.9,14.7,17.1,12030,9.2,89.6,92,"(39.29058096400047, -76.60926011099963)",2.5,10.1
,25,Massachusetts,MA,6745408,17.2,0.8,10.2,62.9,0.4,6.7,0.3,54,52.7,55.4,3447,21.7,20.6,22.7,15098,4.6,94.8,96,"(42.27687047000046, -72.08269067499964)",3.2,8.3
,26,Michigan,MI,9909877,9.7,0.5,13.1,55.9,0.3,8.3,0.2,44.7,43.2,46.1,1641,20.5,19.3,21.6,7860,10.3,88.8,90.7,"(44.6613195430005, -84.71439026999968)",3.5,14.6
,27,Minnesota,MN,5457173,12.8,0.8,12,66.3,0.3,4.7,0.2,53.6,52.6,54.6,3050,18.2,17.4,18.9,15492,7.3,92.1,93.3,"(46.35564873600049, -94.79420050299967)",2.3,9.2
,28,Mississippi,MS,2994079,5.7,0.8,17.9,51.7,0.5,9.8,0.4,30.5,28.4,32.6,814,19.9,18.2,21.7,3699,18.8,79.3,83.1,"(32.745510099000455, -89.53803082499968)",4.5,19.4
,29,Missouri,MO,6063589,9.2,0.7,13.2,58.1,0.3,6.8,0.3,44.5,42.6,46.4,1501,21.7,20.3,23.2,6478,12.9,85.7,88.4,"(38.635790776000476, -92.56630005299968)",2.9,13.7
